timestamp_ms,distance_cm,valid_samples,ground_truth
117919,98.71,7,100
118047,98.93,7,100
118174,99.34,7,100
118302,99.19,7,100
118429,99.25,7,100
118557,98.97,7,100
118684,98.48,7,100
118811,98.44,7,100
118939,98.5,7,100
119066,98.46,7,100
119193,98.49,7,100
119320,98.58,7,100
119448,98.56,7,100
119575,98.44,7,100
119702,98.35,7,100
119830,98.21,7,100
119957,98.33,7,100
120084,98.51,7,100
120211,98.61,7,100
120339,98.66,7,100
120466,98.85,7,100
120593,99.0,7,100
120721,98.67,7,100
120848,98.92,7,100
120976,98.83,7,100
121103,99.03,7,100
121230,99.04,7,100
121358,98.81,7,100
121485,98.92,7,100
121613,99.05,7,100
121740,99.08,7,100
121868,99.08,7,100
121995,99.07,7,100
122123,99.12,7,100
122250,98.89,7,100
122378,98.82,7,100
122505,98.8,7,100
122632,99.18,7,100
122760,99.07,7,100
122887,99.09,7,100
123015,99.06,7,100
123142,99.11,7,100
123270,99.09,7,100
123397,99.1,7,100
123525,99.02,7,100
123652,99.02,7,100
123780,98.99,7,100
123907,98.91,7,100
124035,98.96,7,100
124162,99.02,7,100
124290,99.03,7,100
124417,99.13,7,100
124545,99.18,7,100
124672,98.99,7,100
124800,99.03,7,100
124926,98.89,7,100
125053,98.87,7,100
125181,98.91,7,100
125308,98.91,7,100
125436,98.97,7,100
125563,99.07,7,100
125691,98.95,7,100
125818,98.92,7,100
125946,98.76,7,100
126073,98.82,7,100
126200,98.97,7,100
126328,99.0,7,100
126455,99.0,7,100
126583,98.92,7,100
126710,98.79,7,100
126838,98.49,7,100
126965,98.51,7,100
127092,98.02,7,100
127219,98.47,7,100
127346,98.51,7,100
127474,98.88,7,100
127601,98.98,7,100
127729,98.65,7,100
127856,98.8,7,100
127983,98.98,7,100
128111,98.99,7,100
128238,98.98,7,100
128366,98.99,7,100
128493,98.83,7,100
128621,98.93,7,100
128748,98.97,7,100
128875,98.66,7,100
129003,98.74,7,100
129130,98.72,7,100
129257,98.74,7,100
129385,99.01,7,100
129512,99.11,7,100
129640,99.27,7,100
129767,99.25,7,100
129895,99.27,7,100
130022,99.26,7,100
130150,98.97,7,100
130277,98.86,7,100
130405,98.63,7,100
130532,99.0,7,100
130660,98.87,7,100
130787,98.95,7,100
130915,98.84,7,100
131042,99.21,7,100
131169,99.35,7,100
131297,99.44,7,100
131425,99.44,7,100
131552,99.44,7,100
131680,99.34,7,100
131808,99.19,7,100
131935,99.17,7,100
